,,,pop_served,weighted_value,avg_contamination
Adams,Uranium,2003,211063,1941294.84,9.197703245002677
Adams,Uranium,2004,189915,1396212.93,7.3517780586051655
Adams,Uranium,2005,211374,1799884.48,8.51516496825532
Adams,Uranium,2006,17309,258590.77999999997,14.939671847016001
Adams,Uranium,2007,208479,1502737.8000000003,7.2081015354064455
Adams,Uranium,2008,76598,1186232.8599999999,15.486473014961225
Adams,Uranium,2009,97651,879144.4,9.002922653121832
Adams,Uranium,2010,2544,16873.72,6.632751572327044
Adams,Uranium,2011,229499,1179369.11,5.13888561605933
Adams,Uranium,2012,239866,1542789.1,6.431879049135768
Adams,Uranium,2013,190578,527742.1,2.7691659058233373
Adams,Uranium,2014,160578,320335.51,1.99489039594465
Adams,Uranium,2015,196443,1173508.0399999998,5.9737839475064005
Adams,Uranium,2016,177002,365887.58,2.0671381114337692
Addison,Arsenic,1999,17801,13206.5,0.7418965226672659
Addison,Arsenic,2000,9250,4625.0,0.5
Addison,Arsenic,2001,9110,4555.0,0.5
Addison,Arsenic,2002,17801,10382.0,0.5832256614796921
Addison,Arsenic,2003,9250,4625.0,0.5
Addison,Arsenic,2004,9110,6405.0,0.7030735455543359
Addison,Arsenic,2005,13459,12980.3,0.96443272159893
Addison,Arsenic,2006,5550,5405.0,0.9738738738738739
Addison,Arsenic,2007,5260,5260.0,1.0
Addison,Arsenic,2008,6098,6016.5,0.9866349622827156
Addison,Arsenic,2009,5260,5260.0,1.0
Addison,Arsenic,2010,11245,5622.5,0.5
Addison,Arsenic,2011,6098,3233.0,0.5301738274844211
Addison,Arsenic,2012,5345,2672.5,0.5
Addison,Arsenic,2013,9410,4705.0,0.5
Addison,Arsenic,2014,8116,4058.0,0.5
Addison,Arsenic,2015,5260,2630.0,0.5
Addison,Arsenic,2016,11450,5725.0,0.5
Addison,DEHP,1999,5938,1781.4,0.3
Addison,DEHP,2000,61,18.3,0.3
Addison,DEHP,2001,11380,3711.0,0.32609841827768016
Addison,DEHP,2002,15030,4509.0,0.3
Addison,DEHP,2003,10388,3116.4,0.3
Addison,DEHP,2004,8003,2400.9,0.3
Addison,DEHP,2005,11585,14747.5,1.2729823047043591
Addison,DEHP,2006,11948,17922.0,1.5
Addison,DEHP,2007,8003,12004.5,1.5
Addison,DEHP,2008,9450,17875.0,1.8915343915343916
Addison,DEHP,2009,5963,8867.03,1.487008217340265
Addison,DEHP,2010,8003,12004.5,1.5
Addison,DEHP,2011,15300,22950.0,1.5
Addison,DEHP,2012,15648,23411.0,1.4961017382413089
Addison,DEHP,2013,8003,12004.5,1.5
Addison,DEHP,2014,15600,23400.0,1.5
Addison,DEHP,2015,15748,23622.0,1.5
Addison,DEHP,2016,5985,8977.5,1.5
Addison,Nitrates,1999,18241,8416840.0,461.4242640206129
Addison,Nitrates,2000,16088,7047250.0,438.0438836399801
Addison,Nitrates,2001,18241,7897360.0,432.9455621950551
Addison,Nitrates,2002,18180,9604900.0,528.3223322332233
Addison,Nitrates,2003,18241,7354920.0,403.20815744750837
Addison,Nitrates,2004,18241,7078090.0,388.0319061454964
Addison,Nitrates,2005,17886,7294140.0,407.8128144917813
Addison,Nitrates,2006,18241,8940960.0,490.1573378652486
Addison,Nitrates,2007,18180,10144230.0,557.9884488448845
Addison,Nitrates,2008,18241,11441880.0,627.261663286004
Addison,Nitrates,2009,18045,10696020.0,592.7414796342478
Addison,Nitrates,2010,18241,7514300.0,411.9456170166109
Addison,Nitrates,2011,18241,7297890.0,400.08168411819526
Addison,Nitrates,2012,18241,7957200.0,436.2260840962667
Addison,Nitrates,2013,18541,7234810.0,390.20602987972603
Addison,Nitrates,2014,18541,6160220.0,332.24853028423496
Addison,Nitrates,2015,18336,6978790.0,380.60591186736474
Addison,Nitrates,2016,18191,7537480.0,414.3521521631576
Addison,Uranium,2003,135,1458.0,10.8
Addison,Uranium,2004,5260,5260.0,1.0
Addison,Uranium,2005,196,1515.5,7.732142857142857
Addison,Uranium,2006,290,145.0,0.5
Addison,Uranium,2008,838,1128.5,1.3466587112171837
Addison,Uranium,2009,135,1971.0,14.6
Addison,Uranium,2010,5985,2992.5,0.5
Addison,Uranium,2011,777,2089.95,2.6897683397683396
Addison,Uranium,2012,85,42.5,0.5
Addison,Uranium,2013,350,175.0,0.5
Addison,Uranium,2014,642,1284.0,2.0
Aiken,Arsenic,2003,287,717.5,2.5
Aiken,Arsenic,2004,287,717.5,2.5
Aiken,Arsenic,2005,74117,185292.5,2.5
Aiken,Arsenic,2006,99714,249285.0,2.5
Aiken,Arsenic,2007,72760,181900.0,2.5
Aiken,Arsenic,2008,91477,228692.5,2.5
Aiken,Arsenic,2009,84018,210045.0,2.5
Aiken,Arsenic,2010,84924,212310.0,2.5
Aiken,Arsenic,2011,108543,271357.5,2.5
Aiken,Arsenic,2012,81616,204040.0,2.5
Aiken,Arsenic,2013,89797,224492.5,2.5
Aiken,Arsenic,2014,107987,269967.5,2.5
Aiken,Arsenic,2015,79818,199545.0,2.5
Aiken,Arsenic,2016,87195,217987.5,2.5
Aiken,Nitrates,2002,287,611310.0,2130.0
Aiken,Nitrates,2003,287,660099.9999999999,2299.9999999999995
Aiken,Nitrates,2004,287,631400.0000000001,2200.0000000000005
Aiken,Nitrates,2005,107571,97567510.0,907.0056985618801
Aiken,Nitrates,2006,111130,90992770.0,818.7957347250967
Aiken,Nitrates,2007,113967,91824240.0,805.7090210324042
Aiken,Nitrates,2008,115613,97167320.0,840.4532362277598
Aiken,Nitrates,2009,116810,94761110.0,811.2414176868418
Aiken,Nitrates,2010,122083,102123250.0,836.506720837463
Aiken,Nitrates,2011,121038,102142850.0,843.8907615790082
Aiken,Nitrates,2012,119002,109077280.0,916.6003932707014
Aiken,Nitrates,2013,118103,109688610.0,928.7537996494585
Aiken,Nitrates,2014,117966,112491090.0,953.5890849905905
Aiken,Nitrates,2015,117966,111084050.0,941.6615804553854
Aiken,Nitrates,2016,115226,106175430.0,921.4537517574158
Aiken,Uranium,2008,42028,58839.2,1.4
Aiken,Uranium,2009,370,185.0,0.5
Aiken,Uranium,2010,42374,826293.0,19.5
Aiken,Uranium,2011,59703,428088.95,7.17030886220123
Aiken,Uranium,2012,58441,376627.77999999997,6.444581372666449
Aiken,Uranium,2013,41256,507448.80000000005,12.3
Aitkin,Arsenic,1999,2506,8769.8,3.4995211492418195
Aitkin,Arsenic,2000,146,440.92,3.02
Aitkin,Arsenic,2002,2027,5809.94,2.866275283670449
Aitkin,Arsenic,2004,479,2787.78,5.82
Aitkin,Arsenic,2005,540,1908.86,3.5349259259259256
Aitkin,Arsenic,2008,394,1741.48,4.42
Aitkin,Arsenic,2011,2423,8056.08,3.324836978951713
Aitkin,Arsenic,2013,633,3019.41,4.77
Aitkin,Arsenic,2014,167,293.92,1.76
Aitkin,Arsenic,2015,25,151.0,6.04
Aitkin,Arsenic,2016,25,132.25,5.29
Aitkin,DEHP,1999,2027,4054.0,2.0
Aitkin,DEHP,2002,2027,4054.0,2.0
Aitkin,DEHP,2005,394,788.0,2.0
Aitkin,DEHP,2006,1982,3964.0,2.0
Aitkin,DEHP,2008,2421,726.3,0.3
Aitkin,DEHP,2011,2423,2180.7000000000003,0.9000000000000001
Aitkin,DEHP,2013,633,569.7,0.9
Aitkin,DEHP,2014,2423,2180.7000000000003,0.9000000000000001
Aitkin,DEHP,2016,3248,2171.05,0.6684267241379311
Aitkin,Nitrates,1999,2652,79560.0,30.0
Aitkin,Nitrates,2000,2652,89140.0,33.61236802413273
Aitkin,Nitrates,2001,2652,79560.0,30.0
Aitkin,Nitrates,2002,2652,79560.0,30.0
Aitkin,Nitrates,2003,2652,79560.0,30.0
Aitkin,Nitrates,2004,3046,91380.0,30.0
Aitkin,Nitrates,2005,3046,91380.0,30.0
Aitkin,Nitrates,2006,3046,91380.0,30.0
Aitkin,Nitrates,2007,3071,92130.0,30.0
Aitkin,Nitrates,2008,3071,92130.0,30.0
Aitkin,Nitrates,2009,3046,91380.0,30.0
Aitkin,Nitrates,2010,3071,92130.0,30.0
Aitkin,Nitrates,2011,3048,91440.0,30.0
Aitkin,Nitrates,2012,3048,91440.0,30.0
Aitkin,Nitrates,2013,3223,96690.0,30.0
Aitkin,Nitrates,2014,3223,96690.0,30.0
Aitkin,Nitrates,2015,3248,97440.0,30.0
Aitkin,Nitrates,2016,3248,97440.0,30.0
Alachua,Arsenic,1999,189858,474645.0,2.5
Alachua,Arsenic,2000,188565,320618.15,1.7003057301195876
Alachua,Arsenic,2001,179784,892296.0,4.963155786944333
Alachua,Arsenic,2002,190308,937190.0,4.924595918195767
Alachua,Arsenic,2003,11505,38142.0,3.3152542372881357
Alachua,Arsenic,2004,860,3010.0,3.5
Alachua,Arsenic,2005,189858,48658.08,0.2562866984799166
Alachua,Arsenic,2006,191065,32263.31,0.16886038782613247
Alachua,Arsenic,2007,156,39.0,0.25
Alachua,Arsenic,2008,193561,200876.95,1.03779661192079
Alachua,Arsenic,2009,9018,10445.349999999999,1.1582778886671101
Alachua,Arsenic,2011,193561,61635.05,0.3184270075066775
Alachua,Arsenic,2012,8958,15618.349999999999,1.7435085956686758
Alachua,Arsenic,2013,181468,90734.0,0.5
Alachua,Arsenic,2014,197323,67112.5,0.3401149384511689
Alachua,Arsenic,2015,9008,17974.05,1.9953430284191829
Alachua,Arsenic,2016,1440,576.0,0.4
Alachua,DEHP,1999,189858,129044.99999999999,0.6796921910059096
Alachua,DEHP,2000,5939,6001.4,1.0105068193298534
Alachua,DEHP,2002,190058,77204.6,0.4062159972219007
Alachua,DEHP,2003,11661,9353.5,0.8021181716833891
Alachua,DEHP,2004,860,430.0,0.5
Alachua,DEHP,2005,9594,2702.22,0.28165728580362726
Alachua,DEHP,2006,185408,44594.469999999994,0.24052074344149116
Alachua,DEHP,2007,156,40.56,0.26
Alachua,DEHP,2008,193561,51577.68,0.2664673152132919
Alachua,DEHP,2009,19632,12282.64,0.6256438467807661
Alachua,DEHP,2010,3750,5362.5,1.43
Alachua,DEHP,2011,193561,55998.75,0.28930802176058196
Alachua,DEHP,2012,11908,6749.25,0.5667828350688613
Alachua,DEHP,2013,1250,197.5,0.158
Alachua,DEHP,2014,197323,57258.25,0.29017524566320196
Alachua,DEHP,2015,1156,427.44,0.369757785467128
Alachua,DEHP,2016,938,371.4,0.39594882729211084
Alachua,Nitrates,1999,200749,16308400.0,81.23776457167907
Alachua,Nitrates,2000,200029,18426810.0,92.12069249958756
Alachua,Nitrates,2001,201519,23959480.0,118.89439705437205
Alachua,Nitrates,2002,201719,16971280.0,84.13327450562416
Alachua,Nitrates,2003,23219,9595250.0,413.2499246306904
Alachua,Nitrates,2004,202579,16128570.0,79.61619911244502
Alachua,Nitrates,2005,202579,21791240.0,107.56909650062445
Alachua,Nitrates,2006,202579,17837160.0,88.05039021813712
Alachua,Nitrates,2007,202579,20421590.0,100.80803044738103
Alachua,Nitrates,2008,202579,16303010.0,80.47729527739796
Alachua,Nitrates,2009,202579,18759680.0,92.60426796459653
Alachua,Nitrates,2010,201719,16884830.0,83.70470803444395
Alachua,Nitrates,2011,201719,36428140.0,180.58854148592843
Alachua,Nitrates,2012,206099,25560760.0,124.021756534481
Alachua,Nitrates,2013,197879,22966650.0,116.06410988533396
Alachua,Nitrates,2014,206331,24678390.0,119.60582752955203
Alachua,Nitrates,2015,206131,19751800.0,95.82158918357743
Alachua,Nitrates,2016,202591,16331270.0,80.61202126451816
Alachua,Uranium,2003,1092,1135.68,1.04
Alachua,Uranium,2008,3703,2332.89,0.63
Alachua,Uranium,2009,3187,1635.19,0.5130812676498274
Alachua,Uranium,2012,250,10.0,0.04
Alachua,Uranium,2013,250,47.5,0.19
Alachua,Uranium,2015,6149,5267.08,0.8565750528541226
Alachua,Uranium,2016,1440,57.6,0.04
Alamance,Arsenic,2010,67991,169977.5,2.5
Alamance,Arsenic,2011,66403,166007.5,2.5
Alamance,Arsenic,2012,67647,169117.5,2.5
Alamance,Arsenic,2013,68962,172405.0,2.5
Alamance,Arsenic,2014,74480,186200.0,2.5
Alamance,DEHP,2010,53385,35432.09999999999,0.6637089069963471
Alamance,DEHP,2011,1350,929.4000000000001,0.6884444444444445
Alamance,DEHP,2012,16100,10626.000000000002,0.6600000000000001
Alamance,DEHP,2013,54122,35837.52,0.6621617826392224
Alamance,DEHP,2014,945,623.7,0.66
Alamance,Nitrates,2010,68810,35896350.0,521.6734486266531
Alamance,Nitrates,2011,68903,35646470.0,517.3427862357227
Alamance,Nitrates,2012,69687,28948030.0,415.4007203639129
Alamance,Nitrates,2013,69799,36692750.0,525.6916288198971
Alamance,Nitrates,2014,89113,39716250.0,445.6841313837487
Alamance,Uranium,2010,760,638.6500000000001,0.8403289473684211
Alamance,Uranium,2012,400,200.0,0.5
Alamance,Uranium,2013,755,377.5,0.5
Alamance,Uranium,2014,35,69.3,1.98
Alameda,Arsenic,2000,2004013,2032613.0,1.0142713645071164
Alameda,Arsenic,2001,2002313,2030913.0,1.0142834811540453
Alameda,Arsenic,2002,2002453,2015093.0,1.006312258015544
Alameda,Arsenic,2003,2002329,2002329.0,1.0
Alameda,Arsenic,2004,2002213,2005073.0,1.0014284194538743
Alameda,Arsenic,2005,2002553,2021340.8,1.0093819239740471
Alameda,Arsenic,2006,2002329,2008621.0,1.0031423407442033
Alameda,Arsenic,2007,2002663,2047483.0,1.0223802007626845
Alameda,Arsenic,2008,2002903,2002903.0,1.0
Alameda,Arsenic,2009,2002663,2002663.0,1.0
Alameda,Arsenic,2010,2002663,2002663.0,1.0
Alameda,Arsenic,2011,2002903,2003695.0,1.0003954260391041
Alameda,Arsenic,2012,2002663,2002663.0,1.0
Alameda,Arsenic,2013,1719000,1719000.0,1.0
Alameda,Arsenic,2014,1719000,1719000.0,1.0
Alameda,Arsenic,2015,1775700,1766061.0,0.9945717181956412
Alameda,Arsenic,2016,1719490,1719490.0,1.0
Alameda,DEHP,2000,1857615,2786422.5,1.5
Alameda,DEHP,2001,701463,1052194.5,1.5
Alameda,DEHP,2002,555065,866608.5,1.5612739048579896
Alameda,DEHP,2003,1855815,2783722.5,1.5
Alameda,DEHP,2004,1855815,2783722.5,1.5
Alameda,DEHP,2005,555305,832957.5,1.5
Alameda,DEHP,2006,1855815,2783722.5,1.5
Alameda,DEHP,2007,328325,492487.5,1.5
Alameda,DEHP,2008,555065,832597.5,1.5
Alameda,DEHP,2009,1855815,2783722.5,1.5
Alameda,DEHP,2010,328325,492487.5,1.5
Alameda,DEHP,2011,701913,1672979.4,2.383456924148719
Alameda,DEHP,2012,1629075,2443612.5,1.5
Alameda,DEHP,2013,340000,510000.0,1.5
Alameda,DEHP,2014,340000,510000.0,1.5
Alameda,DEHP,2015,1775700,2663550.0,1.5
Alameda,DEHP,2016,340000,510000.0,1.5
Alameda,Nitrates,2000,2004253,695959090.0,347.24113672275905
Alameda,Nitrates,2001,2002669,742158270.0,370.5845898648254
Alameda,Nitrates,2002,2002569,979656720.0,489.1999826223216
Alameda,Nitrates,2003,2002569,956933900.0,477.8531476318669
Alameda,Nitrates,2004,2002569,1009898920.0,504.3016844862774
Alameda,Nitrates,2005,2002553,1107790140.0,553.1889243380824
Alameda,Nitrates,2006,2002569,1116970640.0,557.7688658917621
Alameda,Nitrates,2007,2002903,970605940.0,484.59957371874725
Alameda,Nitrates,2008,2003019,803015320.0,400.9024976797524
Alameda,Nitrates,2009,2003402,711877440.0,355.33429636188845
Alameda,Nitrates,2010,2002663,669419290.0,334.26457172275116
Alameda,Nitrates,2011,2002903,668434740.0,333.73295661347555
Alameda,Nitrates,2012,2002903,750997240.0,374.95437372653595
Alameda,Nitrates,2013,1775700,853962000.0,480.91569521878694
Alameda,Nitrates,2014,1775700,759310000.0,427.6116461113927
Alameda,Nitrates,2015,1776150,681011000.0,383.4197562142837
Alameda,Nitrates,2016,1775740,685737400.0,386.16993478775044
Alameda,Uranium,2000,228880,370184.6,1.6173741698706745
Alameda,Uranium,2001,474823,304103.72,0.6404570124025163
Alameda,Uranium,2002,701579,1333064.5999999999,1.9000919354769739
Alameda,Uranium,2003,1855931,1442772.3,0.7773846657014728
Alameda,Uranium,2004,701703,898571.2799999999,1.2805578428480424
Alameda,Uranium,2005,555405,469839.2,0.8459398096884256
Alameda,Uranium,2006,1856031,1502535.98,0.8095425022534645
Alameda,Uranium,2007,702029,441934.38,0.6295101484411613
Alameda,Uranium,2008,226740,113370.0,0.5
Alameda,Uranium,2009,240,120.0,0.5
Alameda,Uranium,2010,226740,113370.0,0.5
Alameda,Uranium,2011,532373,461059.25,0.8660455169589742
Alameda,Uranium,2012,555065,605857.5,1.091507300946736
Alameda,Uranium,2015,1435700,579383.0,0.4035543637250122
Alameda,Uranium,2016,1435740,3062582.6,2.1331039046066835
Alamosa,Arsenic,1999,10831,441998.63999999996,40.80866401994275
Alamosa,Arsenic,2000,10916,449614.68,41.18859289116892
Alamosa,Arsenic,2001,11551,488364.36000000004,42.27896805471388
Alamosa,Arsenic,2002,11156,411478.51999999996,36.88405521692363
Alamosa,Arsenic,2003,11156,493506.49,44.23686715668698
Alamosa,Arsenic,2004,11401,485618.38999999996,42.59436803789141
Alamosa,Arsenic,2005,11391,488614.78,42.89480993767009
Alamosa,Arsenic,2006,11156,483671.71,43.355298494083904
Alamosa,Arsenic,2007,11391,503472.32,44.199132648582214
Alamosa,Arsenic,2008,11241,468343.44999999995,41.663859976870384
Alamosa,Arsenic,2009,9218,61601.92,6.682785853764374
Alamosa,Arsenic,2010,9368,49004.35,5.231036507258753
Alamosa,Arsenic,2011,9218,48851.15,5.299538945541332
Alamosa,Arsenic,2012,9218,59810.75,6.488473638533304
Alamosa,Arsenic,2013,9368,60723.0,6.481959863364645
Alamosa,Arsenic,2014,9218,65250.6,7.078607073117813
Alamosa,Arsenic,2015,9218,63986.9,6.941516597960512
Alamosa,Arsenic,2016,9835,51730.200000000004,5.259806812404678
Alamosa,DEHP,2002,11241,3372.3,0.3
Alamosa,DEHP,2004,11076,3458.6400000000003,0.31226435536294694
Alamosa,DEHP,2005,11306,3766.1200000000003,0.333108084203078
Alamosa,DEHP,2006,9693,2907.9,0.3
Alamosa,DEHP,2007,9283,2784.9,0.3
Alamosa,DEHP,2008,11156,3346.8,0.3
Alamosa,DEHP,2009,9218,2765.4,0.3
Alamosa,DEHP,2010,235,70.5,0.3
Alamosa,DEHP,2013,9368,2810.4,0.3
Alamosa,DEHP,2015,9133,2739.9,0.3
Alamosa,DEHP,2016,245,73.5,0.3
Alamosa,Nitrates,2002,11636,1724650.0,148.21674114816088
Alamosa,Nitrates,2003,11551,1714100.0,148.39407843476755
Alamosa,Nitrates,2004,11486,1699700.0,147.9801497475187
Alamosa,Nitrates,2005,11391,626370.0,54.98814853831973
Alamosa,Nitrates,2006,11306,569710.0,50.390058376083495
Alamosa,Nitrates,2007,11391,754480.0000000001,66.23474672987447
Alamosa,Nitrates,2008,11391,499630.00000000006,43.861820735668516
Alamosa,Nitrates,2009,9368,114080.0,12.177625960717336
Alamosa,Nitrates,2010,9368,465850.00000000006,49.72779675491034
Alamosa,Nitrates,2011,9368,467500.00000000006,49.903928266438946
Alamosa,Nitrates,2012,9368,466650.00000000006,49.81319385140906
Alamosa,Nitrates,2013,9368,466650.00000000006,49.81319385140906
Alamosa,Nitrates,2014,9368,286910.0,30.626601195559353
Alamosa,Nitrates,2015,9368,754140.0,80.50170794192998
Alamosa,Nitrates,2016,9835,404900.0,41.16929334011184
Alamosa,Uranium,2005,150,75.0,0.5
Alamosa,Uranium,2006,150,52.5,0.35
Alamosa,Uranium,2007,9283,4619.0,0.497576214585802
